Staff Responsible,Title / Name,Learning Activity,Learning Type,Time (in mins),Task Status,Activity Location
Andrew Struan,Lesson 1 - The Key Principles of Academic Integrity in an AI World,Kaltura Video Resource,Acquisition,20,Completed,Remote (Home)
Scott Ramsey,Lesson 1 - Ownership Plagiarism and Academic Integrity,Kaltura Video Resource,Acquisition,5,Completed,Remote (Home)
Scott Ramsey,Lesson 1 - AI and AI: Academic Integrity and Artificial Intelligence,Kaltura Video Resource,Acquisition,5,Completed,Remote (Home)
Jennifer Boyle,Lesson 1 - The Changing Face of Academic Integrity in Light of GenAI,Kaltura Video Resource,Acquisition,10,Completed,Remote (Home)
Caitlin Diver,Lesson 1 - Academic Integrity Group Discussion,Forum,Collaboration,20,Completed,Remote (Home)
Andrew Struan,Lesson 1 - Practice Assignment (Academic Integrity and AI),Quiz,Practice,10,Completed,Remote (Home)
Scott Ramsey,Lesson 2 - Journals Funding and GenAI,Kaltura Video Resource,Acquisition,5,Completed,Remote (Home)
Caitlin Diver,Lesson 2 - Revisited: Explore Your Own Knowledge / Views on AI,Forum,Discussion,10,Completed,Remote (Home)
Andrew Struan,Lesson 2 - AI and Your Subject,Kaltura Video Resource,Acquisition,30,Completed,Remote (Home)
Jennifer Boyle,Lesson 2 - AI Tools Research Task,Assignment,Investigation,25,Completed,Remote (Home)
Andrew Struan,Lesson 2 - AI Guidelines Development,Assignment,Production,20,Completed,Remote (Home)
Andrew Struan,Lesson 2 - Practice Assignment (The Rules of AI in Your Study),Quiz,Practice,10,Completed,Remote (Home)
Caitlin Diver,Lesson 3 - Reflection: Considering Data Info and Sensitivity in Study,Forum,Discussion,10,Completed,Remote (Home)
Jennifer Boyle,Lesson 3 - Ethics Group Analysis,Forum,Collaboration,20,Completed,Remote (Home)
Scott Ramsey,Lesson 3 - Data and Rights to Confidentiality,Kaltura Video Resource,Acquisition,10,Completed,Remote (Home)
Scott Ramsey,Lesson 3 - Copyright and Intellectual Property,Kaltura Video Resource,Acquisition,10,Completed,Remote (Home)
Andrew Struan,Lesson 3 - Ethics Framework Development,Assignment,Production,20,Completed,Remote (Home)
Andrew Struan,Graded Assignment (End of Module Assignment),Assignment,Assessment,30,Completed,Remote (Home)
